parking_name,capacity,free_spaces,occupied,occupancy_pct,status,timestamp,address,lot_type,url,coords,captured_at
Claramatte,120.0,29,91.0,75.83333333333333,offen,2026-01-19T21:30:00+01:00,Klingentalstrasse 25,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/claramatte,"{'lon': 7.5946604, 'lat': 47.5639644}",2026-01-19T15:30:44.328272
Centralbahn,287.0,282,5.0,1.7421602787456445,offen,2026-01-19T21:30:00+01:00,Gartenstrasse 150,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/centralbahn,"{'lon': 7.5922975, 'lat': 47.547299}",2026-01-19T15:30:44.328272
Bahnhof Süd,100.0,77,23.0,23.0,offen,2026-01-19T21:30:00+01:00,Güterstrasse 115,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/bahnhofsued,"{'lon': 7.5884556, 'lat': 47.5458851}",2026-01-19T15:30:44.328272
Elisabethen,840.0,685,155.0,18.45238095238096,offen,2026-01-19T21:30:00+01:00,Steinentorberg 5,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/elisabethen,"{'lon': 7.5874932, 'lat': 47.5506254}",2026-01-19T15:30:44.328272
Steinen,526.0,386,140.0,26.61596958174905,offen,2026-01-19T21:30:00+01:00,Steinenschanze 5,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/steinen,"{'lon': 7.5858936, 'lat': 47.5524554}",2026-01-19T15:30:44.328272
Storchen,142.0,66,76.0,53.52112676056338,offen,2026-01-19T21:30:00+01:00,Fischmarkt 10,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/storchen,"{'lon': 7.58658, 'lat': 47.5592347}",2026-01-19T15:30:44.328272
Bad. Bahnhof,750.0,298,452.0,60.266666666666666,offen,2026-01-19T21:30:00+01:00,Schwarzwaldstrasse 160,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/badbahnhof,"{'lon': 7.6089067, 'lat': 47.5651794}",2026-01-19T15:30:44.328272
Messe,727.0,505,222.0,30.53645116918845,offen,2026-01-19T21:30:00+01:00,Riehenstrasse 101,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/messe,"{'lon': 7.602175, 'lat': 47.563241}",2026-01-19T15:30:44.328272
Clarahuus,52.0,0,52.0,100.0,offen,2026-01-19T21:30:00+01:00,Webergasse 34,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/clarahuus,"{'lon': 7.5917937, 'lat': 47.5622725}",2026-01-19T15:30:44.328272
Post Basel,,77,,,offen,2026-01-19T21:30:00+01:00,Gartenstrasse 143,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/postbasel,"{'lon': 7.5929374, 'lat': 47.5468617}",2026-01-19T15:30:44.328272
